Date,NAV
19-Jun-17,979.77
20-Jun-17,978.93
21-Jun-17,978.45
22-Jun-17,984.89
23-Jun-17,974.52
27-Jun-17,968.46
28-Jun-17,964.70
29-Jun-17,973.39
30-Jun-17,963.50
03-Jul-17,979.05
04-Jul-17,982.00
05-Jul-17,979.42
06-Jul-17,984.90
07-Jul-17,984.40
10-Jul-17,997.43
11-Jul-17,997.49
12-Jul-17,999.15
13-Jul-17,1006.00
14-Jul-17,1007.15
17-Jul-17,1011.78
18-Jul-17,1001.21
19-Jul-17,1005.40
20-Jul-17,1013.54
21-Jul-17,1007.98
24-Jul-17,1016.00
25-Jul-17,1017.00
26-Jul-17,1021.00
27-Jul-17,1027.40
28-Jul-17,1020.25
31-Jul-17,1024.87
01-Aug-17,1032.93
02-Aug-17,1031.34
03-Aug-17,1025.10
04-Aug-17,1028.46
07-Aug-17,1029.92
08-Aug-17,1021.10
09-Aug-17,1013.43
10-Aug-17,1008.65
11-Aug-17,996.10
14-Aug-17,1002.20
16-Aug-17,1010.48
17-Aug-17,1014.00
18-Aug-17,1001.60
21-Aug-17,1000.00
22-Aug-17,1000.07
23-Aug-17,1003.00
24-Aug-17,1006.80
28-Aug-17,1013.18
29-Aug-17,1004.87
30-Aug-17,1011.16
31-Aug-17,1011.25
01-Sep-17,1020.73
04-Sep-17,1013.20
05-Sep-17,1015.83
06-Sep-17,1013.23
07-Sep-17,1016.32
08-Sep-17,1009.58
11-Sep-17,1016.90
12-Sep-17,1026.91
13-Sep-17,1025.38
14-Sep-17,1027.82
15-Sep-17,1028.00
18-Sep-17,1035.00
19-Sep-17,1033.85
20-Sep-17,1034.64
21-Sep-17,1029.12
22-Sep-17,1015.00
25-Sep-17,1004.10
26-Sep-17,1008.00
27-Sep-17,991.82
28-Sep-17,994.60
29-Sep-17,1000.00
03-Oct-17,1005.10
04-Oct-17,1010.00
05-Oct-17,1009.00
06-Oct-17,1016.21
09-Oct-17,1018.25
10-Oct-17,1019.61
11-Oct-17,1024.20
12-Oct-17,1023.98
13-Oct-17,1038.00
16-Oct-17,1042.45
17-Oct-17,1040.30
18-Oct-17,1038.93
19-Oct-17,1032.45
23-Oct-17,1037.69
24-Oct-17,1039.00
25-Oct-17,1050.00
26-Oct-17,1055.90
27-Oct-17,1053.82
30-Oct-17,1057.15
31-Oct-17,1053.74
01-Nov-17,1065.00
02-Nov-17,1062.25
03-Nov-17,1061.14
06-Nov-17,1064.10
07-Nov-17,1057.90
08-Nov-17,1053.00
09-Nov-17,1052.40
10-Nov-17,1053.17
13-Nov-17,1048.00
14-Nov-17,1039.76
15-Nov-17,1032.00
16-Nov-17,1039.70
17-Nov-17,1053.20
20-Nov-17,1052.99
21-Nov-17,1059.50
22-Nov-17,1055.56
23-Nov-17,1056.20
24-Nov-17,1060.75
27-Nov-17,1059.04
28-Nov-17,1060.36
29-Nov-17,1060.00
30-Nov-17,1047.47
01-Dec-17,1035.00
04-Dec-17,1037.31
05-Dec-17,1039.57
06-Dec-17,1027.00
07-Dec-17,1040.55
08-Dec-17,1048.54
11-Dec-17,1053.08
12-Dec-17,1052.00
13-Dec-17,1043.88
14-Dec-17,1044.00
15-Dec-17,1054.42
18-Dec-17,1060.57
19-Dec-17,1067.79
20-Dec-17,1067.76
21-Dec-17,1067.04
22-Dec-17,1070.00
26-Dec-17,1069.34
27-Dec-17,1075.91
28-Dec-17,1070.74
29-Dec-17,1071.00
