Date,NAV
16-Jan-17,857.67
17-Jan-17,855.60
18-Jan-17,857.48
19-Jan-17,859.51
20-Jan-17,851.03
23-Jan-17,854.57
24-Jan-17,862.82
25-Jan-17,874.59
27-Jan-17,879.88
30-Jan-17,879.40
31-Jan-17,872.28
01-Feb-17,887.28
02-Feb-17,888.96
03-Feb-17,889.93
06-Feb-17,896.59
07-Feb-17,893.72
08-Feb-17,894.36
09-Feb-17,894.56
10-Feb-17,895.89
13-Feb-17,897.00
14-Feb-17,897.55
15-Feb-17,890.41
16-Feb-17,895.12
17-Feb-17,899.50
20-Feb-17,904.99
21-Feb-17,907.16
22-Feb-17,909.56
23-Feb-17,911.31
27-Feb-17,907.49
28-Feb-17,906.65
01-Mar-17,915.96
02-Mar-17,910.72
03-Mar-17,910.44
06-Mar-17,915.56
07-Mar-17,913.10
08-Mar-17,910.79
09-Mar-17,914.95
10-Mar-17,914.50
14-Mar-17,927.37
15-Mar-17,926.98
16-Mar-17,934.64
17-Mar-17,934.35
20-Mar-17,932.61
21-Mar-17,933.05
22-Mar-17,922.75
23-Mar-17,930.01
24-Mar-17,933.13
27-Mar-17,926.00
28-Mar-17,929.84
29-Mar-17,932.36
30-Mar-17,937.57
31-Mar-17,938.27
03-Apr-17,944.12
05-Apr-17,945.33
06-Apr-17,945.41
07-Apr-17,939.65
10-Apr-17,939.19
11-Apr-17,943.44
12-Apr-17,940.37
13-Apr-17,935.06
17-Apr-17,934.54
18-Apr-17,929.58
19-Apr-17,930.73
20-Apr-17,933.59
21-Apr-17,931.12
24-Apr-17,941.48
25-Apr-17,949.22
26-Apr-17,954.08
27-Apr-17,953.49
28-Apr-17,949.88
02-May-17,950.33
03-May-17,950.44
04-May-17,955.64
05-May-17,949.02
08-May-17,950.27
09-May-17,951.12
10-May-17,960.03
11-May-17,961.13
12-May-17,959.47
15-May-17,963.05
16-May-17,970.65
17-May-17,972.12
18-May-17,962.33
19-May-17,962.53
22-May-17,963.64
23-May-17,958.01
24-May-17,955.32
25-May-17,970.46
26-May-17,978.89
29-May-17,980.29
30-May-17,981.75
31-May-17,982.22
01-Jun-17,982.07
02-Jun-17,986.33
05-Jun-17,989.44
06-Jun-17,985.50
07-Jun-17,987.78
08-Jun-17,987.38
09-Jun-17,989.54
12-Jun-17,983.25
13-Jun-17,984.24
14-Jun-17,983.71
15-Jun-17,980.40
16-Jun-17,980.52
19-Jun-17,988.26
20-Jun-17,988.77
21-Jun-17,985.75
22-Jun-17,985.00
23-Jun-17,980.29
27-Jun-17,973.47
28-Jun-17,972.68
29-Jun-17,973.55
30-Jun-17,975.98
03-Jul-17,984.21
04-Jul-17,985.08
05-Jul-17,987.86
06-Jul-17,992.07
07-Jul-17,990.09
10-Jul-17,1000.18
11-Jul-17,1003.84
12-Jul-17,1005.54
13-Jul-17,1014.25
14-Jul-17,1012.44
17-Jul-17,1016.88
18-Jul-17,1010.11
19-Jul-17,1016.32
20-Jul-17,1014.73
21-Jul-17,1017.73
24-Jul-17,1023.86
25-Jul-17,1024.98
26-Jul-17,1028.62
27-Jul-17,1030.46
28-Jul-17,1027.57
31-Jul-17,1034.27
01-Aug-17,1037.39
02-Aug-17,1037.78
03-Aug-17,1030.69
04-Aug-17,1037.47
07-Aug-17,1035.00
08-Aug-17,1029.12
09-Aug-17,1020.77
10-Aug-17,1006.75
11-Aug-17,997.78
14-Aug-17,1009.35
16-Aug-17,1020.84
17-Aug-17,1021.60
18-Aug-17,1016.08
21-Aug-17,1005.97
22-Aug-17,1007.49
23-Aug-17,1015.31
24-Aug-17,1017.59
28-Aug-17,1022.78
29-Aug-17,1010.69
30-Aug-17,1018.74
31-Aug-17,1021.53
01-Sep-17,1028.56
04-Sep-17,1020.68
05-Sep-17,1024.59
06-Sep-17,1021.33
07-Sep-17,1023.52
08-Sep-17,1022.80
11-Sep-17,1030.52
12-Sep-17,1037.56
13-Sep-17,1035.99
14-Sep-17,1037.64
15-Sep-17,1037.57
18-Sep-17,1045.13
19-Sep-17,1044.72
20-Sep-17,1044.38
21-Sep-17,1040.09
22-Sep-17,1025.53
25-Sep-17,1016.95
26-Sep-17,1013.93
27-Sep-17,1006.22
28-Sep-17,1010.05
29-Sep-17,1009.98
03-Oct-17,1015.03
04-Oct-17,1020.69
05-Oct-17,1018.65
06-Oct-17,1030.78
09-Oct-17,1030.84
10-Oct-17,1032.04
11-Oct-17,1027.71
12-Oct-17,1038.68
13-Oct-17,1049.73
16-Oct-17,1055.96
17-Oct-17,1055.37
18-Oct-17,1053.95
19-Oct-17,1046.98
23-Oct-17,1051.64
24-Oct-17,1049.27
25-Oct-17,1059.48
26-Oct-17,1063.81
27-Oct-17,1062.02
30-Oct-17,1069.49
31-Oct-17,1065.17
01-Nov-17,1074.61
02-Nov-17,1074.33
03-Nov-17,1076.66
06-Nov-17,1076.69
07-Nov-17,1068.62
08-Nov-17,1063.09
09-Nov-17,1061.56
10-Nov-17,1062.61
13-Nov-17,1056.08
14-Nov-17,1052.04
15-Nov-17,1044.66
16-Nov-17,1052.29
17-Nov-17,1058.92
20-Nov-17,1061.83
21-Nov-17,1063.83
22-Nov-17,1064.62
23-Nov-17,1065.81
24-Nov-17,1069.46
27-Nov-17,1069.85
28-Nov-17,1068.41
29-Nov-17,1067.82
30-Nov-17,1057.46
01-Dec-17,1046.15
04-Dec-17,1046.95
05-Dec-17,1046.00
06-Dec-17,1037.72
07-Dec-17,1051.06
08-Dec-17,1060.46
11-Dec-17,1062.93
12-Dec-17,1055.98
13-Dec-17,1052.07
14-Dec-17,1054.02
15-Dec-17,1063.71
18-Dec-17,1069.26
19-Dec-17,1077.82
20-Dec-17,1075.13
21-Dec-17,1074.49
22-Dec-17,1079.36
26-Dec-17,1082.81
27-Dec-17,1082.37
28-Dec-17,1079.88
29-Dec-17,1084.48
