Date,NAV
20-Sep-17,1047.85
21-Sep-17,1038.75
22-Sep-17,1025.60
25-Sep-17,1011.95
26-Sep-17,1013.70
27-Sep-17,1005.15
28-Sep-17,1001.55
29-Sep-17,1009.00
03-Oct-17,1019.00
04-Oct-17,1021.95
05-Oct-17,1028.50
09-Oct-17,1032.90
10-Oct-17,1035.65
11-Oct-17,1028.30
12-Oct-17,1029.00
13-Oct-17,1050.00
16-Oct-17,1054.37
17-Oct-17,1062.95
18-Oct-17,1060.52
23-Oct-17,1047.00
24-Oct-17,1055.00
25-Oct-17,1067.00
27-Oct-17,1064.85
30-Oct-17,1075.62
31-Oct-17,1066.19
01-Nov-17,1083.80
02-Nov-17,1081.60
03-Nov-17,1084.40
06-Nov-17,1082.98
07-Nov-17,1070.86
08-Nov-17,1071.90
09-Nov-17,1070.75
10-Nov-17,1062.46
13-Nov-17,1061.35
14-Nov-17,1058.70
15-Nov-17,1054.90
16-Nov-17,1052.25
17-Nov-17,1067.30
20-Nov-17,1067.30
21-Nov-17,1069.00
22-Nov-17,1071.20
24-Nov-17,1080.44
27-Nov-17,1077.10
28-Nov-17,1076.80
29-Nov-17,1076.00
01-Dec-17,1048.05
04-Dec-17,1052.50
05-Dec-17,1047.60
06-Dec-17,1040.85
07-Dec-17,1053.20
08-Dec-17,1065.58
11-Dec-17,1068.18
12-Dec-17,1062.70
13-Dec-17,1055.00
15-Dec-17,1066.70
18-Dec-17,1075.75
19-Dec-17,1077.00
20-Dec-17,1080.40
21-Dec-17,1080.05
22-Dec-17,1080.16
26-Dec-17,1087.21
27-Dec-17,1086.99
28-Dec-17,1088.05
29-Dec-17,1090.90
