Symbol,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL,AAPL,AAPL,AAPL,AAPL,Indicators,Indicators,Indicators,Indicators
Value,Open,High,Low,Close,Volume,Spread,LB,SS,LS,SB,Env_L,Env_H,Wick,StDv*2
Datetime,,,,,,,,,,,,,,
2020-08-14 10:00:00-04:00,455.41,456.25,454.72,455.02,633172,0.0,,,,,456.4951145724851,459.4557332133812,1.5299999999999727,1.0143715395520314
2020-08-14 10:05:00-04:00,454.91,455.72,454.88,455.42,508153,0.0,,,,,456.2042846132008,459.2365586216306,0.8400000000000318,0.9995062071982566
2020-08-14 10:10:00-04:00,455.42,455.97,454.53,454.94,559676,0.0,,455.96,455.96,,455.96484322146745,459.0047578005229,1.4400000000000546,0.999160121986004
2020-08-14 10:15:00-04:00,454.98,455.44,454.1,454.44,670102,0.0,,,,,455.69798196228,458.75387610523507,1.339999999999975,0.9963055489333777
2020-08-14 10:20:00-04:00,454.42,454.87,454.0,454.64,553648,0.0,,,,,455.40252177539617,458.51731647616504,0.8700000000000045,0.999079956506819
2020-08-14 10:25:00-04:00,454.71,454.79,453.31,453.38,560067,0.0,,,,,455.1276197015489,458.23724347843506,1.4800000000000182,0.9958831714308845
2020-08-14 10:30:00-04:00,453.44,453.97,452.9,453.85,736846,0.0,,,,,454.80119401568714,457.9446012423936,1.07000000000005,0.9944623571291326
2020-08-14 10:35:00-04:00,453.85,454.6,453.4,454.5,535131,0.0,,454.57,454.57,,454.56555649038364,457.7276868383561,1.2000000000000455,0.9880178020740232
2020-08-14 10:40:00-04:00,454.5,455.0,454.49,454.86,506573,0.0,,,,,454.39026539606135,457.6357595204174,0.5099999999999909,1.0004856732000094
2020-08-14 10:45:00-04:00,454.9,455.05,454.5,454.69,394022,0.0,,,,,454.2364067869127,457.55354432799663,0.5500000000000114,1.0058482156425925
2020-08-14 10:50:00-04:00,454.69,455.31,453.78,453.98,482322,0.0,,454.12,454.12,,454.1218394738734,457.4102448681875,1.5300000000000296,1.0035032307756722
2020-08-14 10:55:00-04:00,453.99,454.07,453.07,453.23,500411,0.0,,,,,453.9006785715997,457.2126358331219,1.0,1.0029056204570304
2020-08-14 11:00:00-04:00,453.21,453.38,452.18,452.51,787367,0.0,,,,,453.6351948981141,456.94866099187226,1.1999999999999886,1.0023616417039765
2020-08-14 11:05:00-04:00,452.51,453.61,452.26,453.39,599661,0.0,,453.42,453.42,,453.4167906221031,456.71748375455115,1.3500000000000227,1.0023616417039765
2020-08-14 11:10:00-04:00,453.37,453.75,452.8,453.29,448460,0.0,,,,,453.232453419998,456.5600091112606,0.9499999999999886,1.0029171375592925
2020-08-14 11:15:00-04:00,453.31,453.55,452.32,452.48,274649,0.0,,453.05,453.05,,453.0467197609506,456.37158919590235,1.2300000000000182,1.0025385184683213
2020-08-14 11:20:00-04:00,452.81,453.72,452.62,453.61,714896,0.0,,452.89,452.89,,452.89478454562203,456.2298283201021,1.1000000000000227,1.0021702715429925
2020-08-14 11:25:00-04:00,453.61,454.78,453.6,454.62,574862,0.0,,,,,452.8577669698485,456.1953684800924,1.17999999999995,1.001659888208352
2020-08-14 11:30:00-04:00,454.62,456.08,454.45,455.86,825389,0.0,,,,,452.9474653536725,456.24554767246457,1.6299999999999955,1.0056780570492618
2020-08-14 11:35:00-04:00,455.89,456.23,455.4,455.8,590277,0.0,,,,,453.0428353199894,456.38187646556315,0.8300000000000409,1.0060413711703544
