Date,Previous Close,Close Price,return,Traded Volume,Deliverable Qty,Next_day_return,Next_day_direction
25-Mar-19,1341.75,1324.45,-0.012893609,7951992,3661248,0.032315301,1
26-Mar-19,1324.45,1367.25,0.032315301,9479288,3250443,-0.013165112,0
27-Mar-19,1367.25,1349.25,-0.013165112,10094174,3394370,0.007967389,1
28-Mar-19,1349.25,1360,0.007967389,10482938,4655778,0.002389706,1
29-Mar-19,1360,1363.25,0.002389706,7699271,3130918,0.020979277,1
01-Apr-19,1363.25,1391.85,0.020979277,10098281,3166752,-0.001544707,0
02-Apr-19,1391.85,1389.7,-0.001544707,8012636,2276094,-0.010433907,0
03-Apr-19,1389.7,1375.2,-0.010433907,7849461,2934404,-0.016106748,0
04-Apr-19,1375.2,1353.05,-0.016106748,8375674,2798000,0.00062821,1
05-Apr-19,1353.05,1353.9,0.00062821,6728239,2231490,-0.018206662,0
08-Apr-19,1353.9,1329.25,-0.018206662,8723577,4345575,0.00391198,1
09-Apr-19,1329.25,1334.45,0.00391198,9497621,4554495,-0.002285586,0
10-Apr-19,1334.45,1331.4,-0.002285586,7612711,3054830,0.011566772,1
11-Apr-19,1331.4,1346.8,0.011566772,5741333,2274089,-0.002747253,0
12-Apr-19,1346.8,1343.1,-0.002747253,5919742,2037194,-0.002196411,0
15-Apr-19,1343.1,1340.15,-0.002196411,4245127,1497000,0.002686266,1
16-Apr-19,1340.15,1343.75,0.002686266,7936553,4217307,0.031404651,1
18-Apr-19,1343.75,1385.95,0.031404651,17960482,6905750,-0.029293986,0
22-Apr-19,1385.95,1345.35,-0.029293986,10792748,3826256,0.013751068,1
23-Apr-19,1345.35,1363.85,0.013751068,9055300,2687211,0.018807054,1
24-Apr-19,1363.85,1389.5,0.018807054,7360887,2800119,-0.012306585,0
25-Apr-19,1389.5,1372.4,-0.012306585,13929820,6097094,0.014864471,1
26-Apr-19,1372.4,1392.8,0.014864471,6889444,2543349,0,0
30-Apr-19,1392.8,1392.8,0,10217019,4720683,0.008795233,1
02-May-19,1392.8,1405.05,0.008795233,8682505,3311981,0.00270453,1
03-May-19,1405.05,1408.85,0.00270453,6510169,2762984,-0.016999681,0
06-May-19,1408.85,1384.9,-0.016999681,7237910,3763775,-0.029893855,0
07-May-19,1384.9,1343.5,-0.029893855,8877095,4066700,-0.032787495,0
08-May-19,1343.5,1299.45,-0.032787495,14610543,6922545,-0.033090923,0
09-May-19,1299.45,1256.45,-0.033090923,19507368,9685998,-0.004218234,0
10-May-19,1256.45,1251.15,-0.004218234,11226831,3221387,-0.015265955,0
13-May-19,1251.15,1232.05,-0.015265955,8047801,2507496,0.023051013,1
14-May-19,1232.05,1260.45,0.023051013,13001004,5416017,-0.002816454,0
15-May-19,1260.45,1256.9,-0.002816454,11163801,5331570,0.00672289,1
16-May-19,1256.9,1265.35,0.00672289,6606652,2695057,0.001620105,1
17-May-19,1265.35,1267.4,0.001620105,7898440,3087049,0.046157488,1
20-May-19,1267.4,1325.9,0.046157488,12333937,6076425,0.010483445,1
21-May-19,1325.9,1339.8,0.010483445,13872055,5712146,0.000447828,1
22-May-19,1339.8,1340.4,0.000447828,11287400,4593115,-0.004849299,0
23-May-19,1340.4,1333.9,-0.004849299,17722514,5356239,0.00221156,1
24-May-19,1333.9,1336.85,0.00221156,10180759,2740195,-0.019598309,0
27-May-19,1336.85,1310.65,-0.019598309,7349720,2344542,0.009995041,1
28-May-19,1310.65,1323.75,0.009995041,19472659,9947020,-0.008083097,0
29-May-19,1323.75,1313.05,-0.008083097,7112830,1983629,0.01271848,1
30-May-19,1313.05,1329.75,0.01271848,10740841,3938278,0.000300808,1
31-May-19,1329.75,1330.15,0.000300808,11760178,4867709,0.022591437,1
03-Jun-19,1330.15,1360.2,0.022591437,8483610,3426100,-0.00628584,0
04-Jun-19,1360.2,1351.65,-0.00628584,7059911,1999768,-0.017978027,0
06-Jun-19,1351.65,1327.35,-0.017978027,7664319,3562547,-0.009379591,0
07-Jun-19,1327.35,1314.9,-0.009379591,6730595,1966742,0.003232185,1
10-Jun-19,1314.9,1319.15,0.003232185,5380148,1985597,0.007580639,1
11-Jun-19,1319.15,1329.15,0.007580639,5253790,1979424,0.002257082,1
12-Jun-19,1329.15,1332.15,0.002257082,4707716,1470130,-0.003678264,0
13-Jun-19,1332.15,1327.25,-0.003678264,7171189,3440145,-0.007308344,0
14-Jun-19,1327.25,1317.55,-0.007308344,6831331,3520760,-0.026754203,0
17-Jun-19,1317.55,1282.3,-0.026754203,6815554,2875500,-0.001013803,0
18-Jun-19,1282.3,1281,-0.001013803,7679193,3400661,-0.002849336,0
19-Jun-19,1281,1277.35,-0.002849336,6625604,2254672,0.015187693,1
20-Jun-19,1277.35,1296.75,0.015187693,4914012,1864061,-0.013302487,0
21-Jun-19,1296.75,1279.5,-0.013302487,10623098,7333771,-0.013364596,0
24-Jun-19,1279.5,1262.4,-0.013364596,5150998,2132564,0.026497148,1
25-Jun-19,1262.4,1295.85,0.026497148,6842363,2090674,-0.00131188,0
26-Jun-19,1295.85,1294.15,-0.00131188,5299942,1423008,-0.015454159,0
27-Jun-19,1294.15,1274.15,-0.015454159,11385972,6117120,-0.016520818,0
28-Jun-19,1274.15,1253.1,-0.016520818,8659721,4949244,0.012568829,1
01-Jul-19,1253.1,1268.85,0.012568829,6162080,1723543,0.007605312,1
02-Jul-19,1268.85,1278.5,0.007605312,4638751,1426211,0.003167775,1
03-Jul-19,1278.5,1282.55,0.003167775,4026032,1524004,0.00113056,1
04-Jul-19,1282.55,1284,0.00113056,4275148,1731027,-0.016082555,0
05-Jul-19,1284,1263.35,-0.016082555,4995344,1898594,-0.008944473,0
08-Jul-19,1263.35,1252.05,-0.008944473,6404544,2846182,0.022403259,1
09-Jul-19,1252.05,1280.1,0.022403259,8016757,3696748,-0.000976486,0
10-Jul-19,1280.1,1278.85,-0.000976486,5494315,2127946,0.002111272,1
11-Jul-19,1278.85,1281.55,0.002111272,3935460,1678654,-0.00081932,0
12-Jul-19,1281.55,1280.5,-0.00081932,7174054,2943891,-0.003436158,0
15-Jul-19,1280.5,1276.1,-0.003436158,4873164,2806704,0.013243476,1
16-Jul-19,1276.1,1293,0.013243476,4604019,2151811,-0.008623357,0
17-Jul-19,1293,1281.85,-0.008623357,4334958,2124452,-0.01560245,0
18-Jul-19,1281.85,1261.85,-0.01560245,5459896,3041238,-0.010183461,0
19-Jul-19,1261.85,1249,-0.010183461,7468515,3573381,0.025220176,1
22-Jul-19,1249,1280.5,0.025220176,13300153,4610837,-0.005427567,0
23-Jul-19,1280.5,1273.55,-0.005427567,9287951,4500528,-0.011346237,0
24-Jul-19,1273.55,1259.1,-0.011346237,6943982,4092320,-0.021920419,0
25-Jul-19,1259.1,1231.5,-0.021920419,9968545,4147870,-0.014372716,0
26-Jul-19,1231.5,1213.8,-0.014372716,9320481,3725754,-0.002347998,0
29-Jul-19,1213.8,1210.95,-0.002347998,8058035,4222688,-0.024815228,0
30-Jul-19,1210.95,1180.9,-0.024815228,9533344,5042852,-0.012405792,0
31-Jul-19,1180.9,1166.25,-0.012405792,9705619,5616490,0.012004287,1
01-Aug-19,1166.25,1180.25,0.012004287,10344862,5120707,0.00347384,1
02-Aug-19,1180.25,1184.35,0.00347384,10865385,5009673,-0.034618145,0
05-Aug-19,1184.35,1143.35,-0.034618145,13897461,7353421,-0.013163073,0
06-Aug-19,1143.35,1128.3,-0.013163073,13288909,7029679,-0.016750864,0
07-Aug-19,1128.3,1109.4,-0.016750864,11588879,4677011,0.038714621,1
08-Aug-19,1109.4,1152.35,0.038714621,14262936,6323162,0.008460971,1
09-Aug-19,1152.35,1162.1,0.008460971,10043949,3975739,0.09693658,1
13-Aug-19,1162.1,1274.75,0.09693658,47923444,17737691,0.010590312,1
14-Aug-19,1274.75,1288.25,0.010590312,14487137,5340545,-0.00795653,0
16-Aug-19,1288.25,1278,-0.00795653,10047496,5383619,0.0114241,1
19-Aug-19,1278,1292.6,0.0114241,7459859,3445959,-0.012881015,0
20-Aug-19,1292.6,1275.95,-0.012881015,6843460,3120955,-0.003918649,0
21-Aug-19,1275.95,1270.95,-0.003918649,4881553,1910801,-0.019040875,0
22-Aug-19,1270.95,1246.75,-0.019040875,6414937,2560780,0.023340686,1
23-Aug-19,1246.75,1275.85,0.023340686,9741262,3046594,-0.00709331,0
26-Aug-19,1275.85,1266.8,-0.00709331,8778739,3902952,0.006354594,1
27-Aug-19,1266.8,1274.85,0.006354594,12984396,7846459,-0.009059889,0
28-Aug-19,1274.85,1263.3,-0.009059889,5305639,1838944,-0.017058498,0
29-Aug-19,1263.3,1241.75,-0.017058498,8635974,4042596,0.005476143,1
30-Aug-19,1241.75,1248.55,0.005476143,11308120,5345295,-0.033759161,0
03-Sep-19,1248.55,1206.4,-0.033759161,8563009,3923254,-0.00435179,0
04-Sep-19,1206.4,1201.15,-0.00435179,15063355,7565881,-0.002122965,0
05-Sep-19,1201.15,1198.6,-0.002122965,10512763,3254760,0.01993993,1
06-Sep-19,1198.6,1222.5,0.01993993,10600234,3398248,-0.000245399,0
09-Sep-19,1222.5,1222.2,-0.000245399,5370758,1201029,0.009982,1
11-Sep-19,1222.2,1234.4,0.009982,5544468,1711218,-0.01948315,0
12-Sep-19,1234.4,1210.35,-0.01948315,5431139,1784319,0.012599661,1
13-Sep-19,1210.35,1225.6,0.012599661,5919260,1873608,-0.012116514,0
16-Sep-19,1225.6,1210.75,-0.012116514,9393731,3647917,-0.010984927,0
17-Sep-19,1210.75,1197.45,-0.010984927,7150435,3189652,0.00688964,1
18-Sep-19,1197.45,1205.7,0.00688964,6827281,2038379,-0.022103342,0
19-Sep-19,1205.7,1179.05,-0.022103342,6293454,1834750,0.063864976,1
20-Sep-19,1179.05,1254.35,0.063864976,22019674,9257860,-0.012077969,0
23-Sep-19,1254.35,1239.2,-0.012077969,9879751,3446361,0.031875403,1
24-Sep-19,1239.2,1278.7,0.031875403,15982067,5249582,0.000664738,1
25-Sep-19,1278.7,1279.55,0.000664738,8316894,2502977,0.013481302,1
26-Sep-19,1279.55,1296.8,0.013481302,8389212,3376852,0.009446329,1
27-Sep-19,1296.8,1309.05,0.009446329,8712980,2511179,0.017722776,1
